"","POP_ID","SPP","SYS_NM","faz_acro","maz_acro","CU_name","CU_findex","Area","IsIndicator","year","escapement"
"184",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1991,500
"185",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1992,500
"186",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1993,600
"187",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1994,NA
"188",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1995,NA
"189",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1996,NA
"190",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1997,NA
"191",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1998,NA
"192",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1999,NA
"193",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2000,NA
"194",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2001,NA
"195",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2002,NA
"196",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2003,NA
"197",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2004,NA
"198",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2005,NA
"199",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2006,NA
"200",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2007,NA
"201",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2008,NA
"202",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2009,NA
"203",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2010,NA
"204",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2011,NA
"205",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2012,NA
"206",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2013,NA
"207",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2014,NA
"208",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2015,NA
"209",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2016,NA
"210",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2017,NA
"211",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2018,NA
"212",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2019,NA
"213",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",2020,NA
